2024/04/12 15:45:21 ID: 241, Data: 9C1BFBFF840A773B, Celsius: 27, A: -0.05, rev/s: +7.478,  rev: +42.286
2024/04/12 15:45:21 ID: 241, Data: 9C1B0500100A853C, Celsius: 27, A: +0.05, rev/s: +7.156,  rev: +43.036
2024/04/12 15:45:21 ID: 241, Data: 9C1B0C00500A913D, Celsius: 27, A: +0.12, rev/s: +7.333,  rev: +43.781
2024/04/12 15:45:21 ID: 241, Data: 9C1B1200310A9E3E, Celsius: 27, A: +0.18, rev/s: +7.247,  rev: +44.528
2024/04/12 15:45:21 ID: 241, Data: 9C1B0E00440AA93F, Celsius: 27, A: +0.14, rev/s: +7.300,  rev: +45.269
2024/04/12 15:45:22 ID: 241, Data: 9C1B1A00020AB840, Celsius: 27, A: +0.26, rev/s: +7.117,  rev: +46.022
2024/04/12 15:45:22 ID: 241, Data: 9C1B0900510AC341, Celsius: 27, A: +0.09, rev/s: +7.336,  rev: +46.764
2024/04/12 15:45:22 ID: 241, Data: 9C1B0200390AD142, Celsius: 27, A: +0.02, rev/s: +7.269,  rev: +47.514
2024/04/12 15:45:22 ID: 241, Data: 9C1B0F004F0ADB43, Celsius: 27, A: +0.15, rev/s: +7.331,  rev: +48.253
2024/04/12 15:45:22 ID: 241, Data: 9C1B0A00060AEA44, Celsius: 27, A: +0.10, rev/s: +7.128,  rev: +49.006
2024/04/12 15:45:22 ID: 241, Data: 9C1B0A00330AF545, Celsius: 27, A: +0.10, rev/s: +7.253,  rev: +49.747
2024/04/12 15:45:22 ID: 241, Data: 9C1B00002F0A0347, Celsius: 27, A: +0.00, rev/s: +7.242,  rev: +50.497
2024/04/12 15:45:22 ID: 241, Data: 9C1B10003C0A0D48, Celsius: 27, A: +0.16, rev/s: +7.278,  rev: +51.236
